,id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7
3194,1431121,55891,2021-10-12 16:17:41,0,0,0,0,0,0,0,0
3195,1431165,55891,2021-10-12 16:18:41,0,0,0,0,0,0,0,0
3196,1431209,55891,2021-10-12 16:19:41,0,0,0,0,0,0,0,0
3197,1431253,55891,2021-10-12 16:20:41,0,0,0,0,0,0,0,0
3198,1431297,55891,2021-10-12 16:21:41,0,0,0,0,0,0,0,0
3199,1431341,55891,2021-10-12 16:22:41,0,0,0,0,0,0,0,0
3200,1431385,55891,2021-10-12 16:23:41,0,0,0,0,0,0,0,0
3201,1431429,55891,2021-10-12 16:24:41,0,0,0,0,0,0,0,0
3202,1431473,55891,2021-10-12 16:25:41,0,0,0,0,0,0,0,0
3203,1431517,55891,2021-10-12 16:26:41,0,0,0,0,0,0,0,0
3204,1431561,55891,2021-10-12 16:27:41,0,0,0,0,0,0,0,0
3205,1431605,55891,2021-10-12 16:28:41,0,0,0,0,0,0,0,0
3206,1431649,55891,2021-10-12 16:29:41,0,0,0,0,0,0,0,0
3207,1431693,55891,2021-10-12 16:30:41,0,0,0,0,0,0,0,0
3208,1431737,55891,2021-10-12 16:31:41,0,0,0,0,0,0,0,0
3209,1431781,55891,2021-10-12 16:32:41,0,0,0,0,0,0,0,0
3210,1431825,55891,2021-10-12 16:33:41,0,0,0,0,0,0,0,0
3211,1431869,55891,2021-10-12 16:34:41,0,0,0,0,0,0,0,0
3212,1431913,55891,2021-10-12 16:35:41,0,0,0,0,0,0,0,0
3213,1431957,55891,2021-10-12 16:36:41,0,0,0,0,0,0,0,0
3214,1432001,55891,2021-10-12 16:37:41,0,0,0,0,0,0,0,0
3215,1432045,55891,2021-10-12 16:38:41,0,0,0,0,0,0,0,0
3216,1432089,55891,2021-10-12 16:39:41,0,0,0,0,0,0,0,0
3217,1432133,55891,2021-10-12 16:40:41,0,0,0,0,0,0,0,0
3218,1432177,55891,2021-10-12 16:41:41,0,0,0,0,0,0,0,0
3219,1432221,55891,2021-10-12 16:42:41,0,0,0,0,0,0,0,0
3220,1432265,55891,2021-10-12 16:43:41,0,0,0,0,0,0,0,0
3221,1432309,55891,2021-10-12 16:44:41,0,0,0,0,0,0,0,0
3222,1432353,55891,2021-10-12 16:45:41,0,0,0,0,0,0,0,0
3223,1432397,55891,2021-10-12 16:46:41,0,0,0,0,0,0,0,0
3224,1432441,55891,2021-10-12 16:47:41,0,0,0,0,0,0,0,0
3225,1432485,55891,2021-10-12 16:48:41,0,0,0,0,0,0,0,0
3226,1432529,55891,2021-10-12 16:49:41,0,0,0,0,0,0,0,0
3227,1432573,55891,2021-10-12 16:50:41,0,0,0,0,0,0,0,0
3228,1432617,55891,2021-10-12 16:51:41,0,0,0,0,0,0,0,0
3229,1432661,55891,2021-10-12 16:52:41,0,0,0,0,0,0,0,0
3230,1432705,55891,2021-10-12 16:53:41,0,0,0,0,0,0,0,0
3231,1432749,55891,2021-10-12 16:54:41,0,0,0,0,0,0,0,0
3232,1432793,55891,2021-10-12 16:55:41,0,0,0,0,0,0,0,0
3233,1432837,55891,2021-10-12 16:56:41,0,0,0,0,0,0,0,0
3234,1432881,55891,2021-10-12 16:57:41,0,0,0,0,0,0,0,0
3235,1432925,55891,2021-10-12 16:58:41,0,0,0,0,0,0,0,0
3236,1432969,55891,2021-10-12 16:59:41,0,0,0,0,0,0,0,0
3237,1433013,55891,2021-10-12 17:00:41,0,0,0,0,0,0,0,0
3238,1433057,55891,2021-10-12 17:01:41,0,0,0,0,0,0,0,0
3239,1433101,55891,2021-10-12 17:02:41,0,0,0,0,0,0,0,0
3240,1433145,55891,2021-10-12 17:03:41,0,0,0,0,0,0,0,0
3241,1433189,55891,2021-10-12 17:04:41,0,0,0,0,0,0,0,0
3242,1433233,55891,2021-10-12 17:05:41,0,0,0,0,0,0,0,0
3243,1433277,55891,2021-10-12 17:06:41,0,0,0,0,0,0,0,0
3244,1433321,55891,2021-10-12 17:07:41,0,0,0,0,0,0,0,0
3245,1433365,55891,2021-10-12 17:08:41,0,0,0,0,0,0,0,0
3246,1433409,55891,2021-10-12 17:09:41,0,0,0,0,0,0,0,0
3247,1433453,55891,2021-10-12 17:10:41,0,0,0,0,0,0,0,0
3248,1433497,55891,2021-10-12 17:11:41,0,0,0,0,0,0,0,0
