id,sensorId,timestamp,chan_0,chan_1
4049257,57226,2021-12-22T17:05:31.000Z,0,0
4049277,57226,2021-12-22T17:06:31.000Z,0,0
4049297,57226,2021-12-22T17:07:31.000Z,0,0
4049317,57226,2021-12-22T17:08:31.000Z,0,0
4049337,57226,2021-12-22T17:09:31.000Z,0,0
4049357,57226,2021-12-22T17:10:31.000Z,0,0
4049377,57226,2021-12-22T17:11:31.000Z,0,0
4049397,57226,2021-12-22T17:12:31.000Z,0,0
4049417,57226,2021-12-22T17:13:31.000Z,0,0
4049437,57226,2021-12-22T17:14:31.000Z,0,0
4049457,57226,2021-12-22T17:15:31.000Z,0,0
4049477,57226,2021-12-22T17:16:31.000Z,0,0
4049497,57226,2021-12-22T17:17:31.000Z,0,0
4049517,57226,2021-12-22T17:18:31.000Z,0,0
4049537,57226,2021-12-22T17:19:31.000Z,0,0
4049557,57226,2021-12-22T17:20:31.000Z,0,0
4049577,57226,2021-12-22T17:21:31.000Z,0,0
4049597,57226,2021-12-22T17:22:31.000Z,0,0
4049617,57226,2021-12-22T17:23:31.000Z,0,0
4049637,57226,2021-12-22T17:24:31.000Z,0,0
4049657,57226,2021-12-22T17:25:31.000Z,0,0
4049677,57226,2021-12-22T17:26:31.000Z,0,0
4049697,57226,2021-12-22T17:27:31.000Z,0,0
4049717,57226,2021-12-22T17:28:31.000Z,0,0
4049737,57226,2021-12-22T17:29:31.000Z,0,0
4049757,57226,2021-12-22T17:30:31.000Z,0,0
4049777,57226,2021-12-22T17:31:31.000Z,0,0
4049797,57226,2021-12-22T17:32:31.000Z,0,0
4049817,57226,2021-12-22T17:33:31.000Z,0,0
4049837,57226,2021-12-22T17:34:31.000Z,0,0
4049857,57226,2021-12-22T17:35:31.000Z,0,0
4049877,57226,2021-12-22T17:36:31.000Z,0,0
4049897,57226,2021-12-22T17:37:31.000Z,0,0
4049917,57226,2021-12-22T17:38:31.000Z,0,0
4049937,57226,2021-12-22T17:39:31.000Z,0,0
4049957,57226,2021-12-22T17:40:31.000Z,0,0
4049977,57226,2021-12-22T17:41:31.000Z,0,0
4049997,57226,2021-12-22T17:42:31.000Z,0,0
4050017,57226,2021-12-22T17:43:31.000Z,0,0
4050037,57226,2021-12-22T17:44:31.000Z,0,0
4050057,57226,2021-12-22T17:45:31.000Z,0,0
4050077,57226,2021-12-22T17:46:31.000Z,0,0
4050097,57226,2021-12-22T17:47:31.000Z,0,0
4050117,57226,2021-12-22T17:48:31.000Z,0,0
4050137,57226,2021-12-22T17:49:31.000Z,0,0
4050157,57226,2021-12-22T17:50:31.000Z,0,0
4050177,57226,2021-12-22T17:51:31.000Z,0,0
4050197,57226,2021-12-22T17:52:31.000Z,0,0
4050217,57226,2021-12-22T17:53:31.000Z,0,0
4050237,57226,2021-12-22T17:54:31.000Z,0,0
4050257,57226,2021-12-22T17:55:31.000Z,0,0
4050277,57226,2021-12-22T17:56:31.000Z,0,0
4050297,57226,2021-12-22T17:57:31.000Z,0,0
4050317,57226,2021-12-22T17:58:31.000Z,0,0
4050337,57226,2021-12-22T17:59:31.000Z,0,0
4050357,57226,2021-12-22T18:00:31.000Z,0,0
4050377,57226,2021-12-22T18:01:31.000Z,0,0
4050397,57226,2021-12-22T18:02:31.000Z,0,0
4050417,57226,2021-12-22T18:03:31.000Z,0,0
4050437,57226,2021-12-22T18:04:31.000Z,0,0
4050457,57226,2021-12-22T18:05:31.000Z,0,0
4050477,57226,2021-12-22T18:06:31.000Z,0,0
4050497,57226,2021-12-22T18:07:31.000Z,0,0
4050517,57226,2021-12-22T18:08:31.000Z,0,0
4050537,57226,2021-12-22T18:09:31.000Z,0,0
4050557,57226,2021-12-22T18:10:31.000Z,0,0
4050577,57226,2021-12-22T18:11:31.000Z,0,0
4050597,57226,2021-12-22T18:12:31.000Z,0,0
4050617,57226,2021-12-22T18:13:31.000Z,0,0
4050637,57226,2021-12-22T18:14:31.000Z,0,0
4050657,57226,2021-12-22T18:15:31.000Z,0,0
4050673,57226,2021-12-22T18:16:31.000Z,0,0
4050697,57226,2021-12-22T18:17:31.000Z,0,0
4050717,57226,2021-12-22T18:18:31.000Z,0,0
4050737,57226,2021-12-22T18:19:31.000Z,0,0
4050757,57226,2021-12-22T18:20:31.000Z,0,0
4050777,57226,2021-12-22T18:21:31.000Z,0,0
4050797,57226,2021-12-22T18:22:31.000Z,0,0
4050817,57226,2021-12-22T18:23:31.000Z,0,0
4050837,57226,2021-12-22T18:24:31.000Z,0,0
4050857,57226,2021-12-22T18:25:31.000Z,0,0
4050877,57226,2021-12-22T18:26:31.000Z,0,0
4050897,57226,2021-12-22T18:27:31.000Z,0,0
4050917,57226,2021-12-22T18:28:31.000Z,0,0
4050937,57226,2021-12-22T18:29:31.000Z,0,0
4050957,57226,2021-12-22T18:30:31.000Z,0,0
4050977,57226,2021-12-22T18:31:31.000Z,0,0
4050997,57226,2021-12-22T18:32:31.000Z,0,0
4051017,57226,2021-12-22T18:33:31.000Z,0,0
4051037,57226,2021-12-22T18:34:31.000Z,0,0
4051057,57226,2021-12-22T18:35:31.000Z,0,0
4051077,57226,2021-12-22T18:36:31.000Z,0,0
4051097,57226,2021-12-22T18:37:31.000Z,0,0
4051117,57226,2021-12-22T18:38:31.000Z,0,0
4051137,57226,2021-12-22T18:39:31.000Z,0,0
4051157,57226,2021-12-22T18:40:31.000Z,0,0
4051177,57226,2021-12-22T18:41:31.000Z,0,0
4051197,57226,2021-12-22T18:42:31.000Z,0,0
4051217,57226,2021-12-22T18:43:31.000Z,0,0
4051237,57226,2021-12-22T18:44:32.000Z,0,0
4051257,57226,2021-12-22T18:45:32.000Z,0,0
4051277,57226,2021-12-22T18:46:32.000Z,0,0
4051297,57226,2021-12-22T18:47:32.000Z,0,0
4051317,57226,2021-12-22T18:48:32.000Z,0,0
4051337,57226,2021-12-22T18:49:32.000Z,0,0
4051357,57226,2021-12-22T18:50:32.000Z,0,0
4051377,57226,2021-12-22T18:51:32.000Z,0,0
4051397,57226,2021-12-22T18:52:32.000Z,0,0
4051417,57226,2021-12-22T18:53:32.000Z,0,0
4051437,57226,2021-12-22T18:54:32.000Z,0,0
4051457,57226,2021-12-22T18:55:32.000Z,0,0
4051477,57226,2021-12-22T18:56:32.000Z,0,0
4051497,57226,2021-12-22T18:57:32.000Z,0,0
4051517,57226,2021-12-22T18:58:32.000Z,0,0
4051537,57226,2021-12-22T18:59:32.000Z,0,0
4051557,57226,2021-12-22T19:00:32.000Z,0,0
4051577,57226,2021-12-22T19:01:32.000Z,0,0
4051597,57226,2021-12-22T19:02:32.000Z,0,0
4051617,57226,2021-12-22T19:03:32.000Z,0,0
4051637,57226,2021-12-22T19:04:32.000Z,0,0
4051657,57226,2021-12-22T19:05:32.000Z,0,0
4051677,57226,2021-12-22T19:06:32.000Z,0,0
4051697,57226,2021-12-22T19:07:32.000Z,0,0
4051717,57226,2021-12-22T19:08:32.000Z,0,0
4051737,57226,2021-12-22T19:09:32.000Z,0,0
4051757,57226,2021-12-22T19:10:32.000Z,0,0
4051777,57226,2021-12-22T19:11:32.000Z,0,0
4051797,57226,2021-12-22T19:12:32.000Z,0,0
4051817,57226,2021-12-22T19:13:32.000Z,0,0
4051837,57226,2021-12-22T19:14:32.000Z,0,0
4051857,57226,2021-12-22T19:15:32.000Z,0,0
4051877,57226,2021-12-22T19:16:32.000Z,0,0
4051897,57226,2021-12-22T19:17:32.000Z,0,0
4051917,57226,2021-12-22T19:18:32.000Z,0,0
4051937,57226,2021-12-22T19:19:32.000Z,0,0
4051957,57226,2021-12-22T19:20:32.000Z,0,0
4051977,57226,2021-12-22T19:21:32.000Z,0,0
4051997,57226,2021-12-22T19:22:32.000Z,0,0
4052017,57226,2021-12-22T19:23:32.000Z,0,0
4052037,57226,2021-12-22T19:24:32.000Z,0,0
4052057,57226,2021-12-22T19:25:32.000Z,0,0
4052077,57226,2021-12-22T19:26:32.000Z,0,0
4052097,57226,2021-12-22T19:27:32.000Z,0,0
4052117,57226,2021-12-22T19:28:32.000Z,0,0
4052137,57226,2021-12-22T19:29:32.000Z,0,0
4052157,57226,2021-12-22T19:30:32.000Z,0,0
4052177,57226,2021-12-22T19:31:32.000Z,0,0
4052197,57226,2021-12-22T19:32:32.000Z,0,0
4052217,57226,2021-12-22T19:33:32.000Z,0,0
4052237,57226,2021-12-22T19:34:32.000Z,0,0
4052257,57226,2021-12-22T19:35:32.000Z,0,0
4052277,57226,2021-12-22T19:36:32.000Z,0,0
4052297,57226,2021-12-22T19:37:32.000Z,0,0
4052317,57226,2021-12-22T19:38:32.000Z,0,0
4052337,57226,2021-12-22T19:39:32.000Z,0,0
4052357,57226,2021-12-22T19:40:32.000Z,0,0
