id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7
1650545,55891,2021-10-16T04:28:40.000Z,0,0,0,0,0,0,0,0
1650589,55891,2021-10-16T04:29:40.000Z,0,0,0,0,0,0,0,0
1650633,55891,2021-10-16T04:30:40.000Z,0,0,0,0,0,0,0,0
1650677,55891,2021-10-16T04:31:40.000Z,0,0,0,0,0,0,0,0
1650721,55891,2021-10-16T04:32:40.000Z,0,0,0,0,0,0,0,0
1650765,55891,2021-10-16T04:33:40.000Z,0,0,0,0,0,0,0,0
1650809,55891,2021-10-16T04:34:40.000Z,0,0,0,0,0,0,0,0
1650853,55891,2021-10-16T04:35:40.000Z,0,0,0,0,0,0,0,0
1650897,55891,2021-10-16T04:36:40.000Z,0,0,0,0,0,0,0,0
1650941,55891,2021-10-16T04:37:40.000Z,0,0,0,0,0,0,0,0
1650985,55891,2021-10-16T04:38:40.000Z,0,0,0,0,0,0,0,0
1651029,55891,2021-10-16T04:39:40.000Z,0,0,0,0,0,0,0,0
1651073,55891,2021-10-16T04:40:40.000Z,0,0,0,0,0,0,0,0
1651117,55891,2021-10-16T04:41:40.000Z,0,0,0,0,0,0,0,0
1651161,55891,2021-10-16T04:42:40.000Z,0,0,0,0,0,0,0,0
1651205,55891,2021-10-16T04:43:40.000Z,0,0,0,0,0,0,0,0
1651249,55891,2021-10-16T04:44:40.000Z,0,0,0,0,0,0,0,0
1651293,55891,2021-10-16T04:45:40.000Z,0,0,0,0,0,0,0,0
1651337,55891,2021-10-16T04:46:40.000Z,0,0,0,0,0,0,0,0
1651381,55891,2021-10-16T04:47:40.000Z,0,0,0,0,0,0,0,0
1651425,55891,2021-10-16T04:48:40.000Z,0,0,0,0,0,0,0,0
1651469,55891,2021-10-16T04:49:40.000Z,0,0,0,0,0,0,0,0
1651513,55891,2021-10-16T04:50:40.000Z,0,0,0,0,0,0,0,0
1651557,55891,2021-10-16T04:51:40.000Z,0,0,0,0,0,0,0,0
1651601,55891,2021-10-16T04:52:40.000Z,0,0,0,0,0,0,0,0
1651645,55891,2021-10-16T04:53:40.000Z,0,0,0,0,0,0,0,0
1651689,55891,2021-10-16T04:54:40.000Z,0,0,0,0,0,0,0,0
1651733,55891,2021-10-16T04:55:40.000Z,0,0,0,0,0,0,0,0
1651777,55891,2021-10-16T04:56:40.000Z,0,0,0,0,0,0,0,0
1651821,55891,2021-10-16T04:57:40.000Z,0,0,0,0,0,0,0,0
1651865,55891,2021-10-16T04:58:40.000Z,0,0,0,0,0,0,0,0
1651909,55891,2021-10-16T04:59:40.000Z,0,0,0,0,0,0,0,0
1651953,55891,2021-10-16T05:00:40.000Z,0,0,0,0,0,0,0,0
1651997,55891,2021-10-16T05:01:41.000Z,0,0,0,0,0,0,0,0
1652041,55891,2021-10-16T05:02:41.000Z,0,0,0,0,0,0,0,0
1652085,55891,2021-10-16T05:03:41.000Z,0,0,0,0,0,0,0,0
1652129,55891,2021-10-16T05:04:41.000Z,0,0,0,0,0,0,0,0
1652173,55891,2021-10-16T05:05:41.000Z,0,0,0,0,0,0,0,0
1652217,55891,2021-10-16T05:06:41.000Z,0,0,0,0,0,0,0,0
1652261,55891,2021-10-16T05:07:41.000Z,0,0,0,0,0,0,0,0
1652305,55891,2021-10-16T05:08:41.000Z,0,0,0,0,0,0,0,0
1652349,55891,2021-10-16T05:09:41.000Z,0,0,0,0,0,0,0,0
1652393,55891,2021-10-16T05:10:41.000Z,0,0,0,0,0,0,0,0
1652437,55891,2021-10-16T05:11:41.000Z,0,0,0,0,0,0,0,0
1652481,55891,2021-10-16T05:12:41.000Z,0,0,0,0,0,0,0,0
1652525,55891,2021-10-16T05:13:41.000Z,0,0,0,0,0,0,0,0
1652569,55891,2021-10-16T05:14:41.000Z,0,0,0,0,0,0,0,0
1652613,55891,2021-10-16T05:15:41.000Z,0,0,0,0,0,0,0,0
1652657,55891,2021-10-16T05:16:41.000Z,0,0,0,0,0,0,0,0
1652701,55891,2021-10-16T05:17:41.000Z,0,0,0,0,0,0,0,0
1652745,55891,2021-10-16T05:18:41.000Z,0,0,0,0,0,0,0,0
1652789,55891,2021-10-16T05:19:41.000Z,0,0,0,0,0,0,0,0
1652833,55891,2021-10-16T05:20:41.000Z,0,0,0,0,0,0,0,0
1652877,55891,2021-10-16T05:21:41.000Z,0,0,0,0,0,0,0,0
1652921,55891,2021-10-16T05:22:41.000Z,0,0,0,0,0,0,0,0
1652965,55891,2021-10-16T05:23:41.000Z,0,0,0,0,0,0,0,0
1653009,55891,2021-10-16T05:24:41.000Z,0,0,0,0,0,0,0,0
1653053,55891,2021-10-16T05:25:41.000Z,0,0,0,0,0,0,0,0
1653097,55891,2021-10-16T05:26:41.000Z,0,0,0,0,0,0,0,0
1653141,55891,2021-10-16T05:27:41.000Z,0,0,0,0,0,0,0,0
1653185,55891,2021-10-16T05:28:41.000Z,0,0,0,0,0,0,0,0
1653229,55891,2021-10-16T05:29:41.000Z,0,0,0,0,0,0,0,0
1653273,55891,2021-10-16T05:30:41.000Z,0,0,0,0,0,0,0,0
1653317,55891,2021-10-16T05:31:41.000Z,0,0,0,0,0,0,0,0
1653361,55891,2021-10-16T05:32:41.000Z,0,0,0,0,0,0,0,0
1653405,55891,2021-10-16T05:33:41.000Z,0,0,0,0,0,0,0,0
1653449,55891,2021-10-16T05:34:41.000Z,0,0,0,0,0,0,0,0
1653493,55891,2021-10-16T05:35:41.000Z,0,0,0,0,0,0,0,0
1653537,55891,2021-10-16T05:36:41.000Z,0,0,0,0,0,0,0,0
1653581,55891,2021-10-16T05:37:41.000Z,0,0,1648,98,2382,142,0,0
1653625,55891,2021-10-16T05:38:41.000Z,0,0,617,37,4573,274,0,0
1653669,55891,2021-10-16T05:39:41.000Z,0,0,0,0,3282,196,0,0
1653713,55891,2021-10-16T05:40:41.000Z,0,0,0,0,0,0,0,0
1653757,55891,2021-10-16T05:41:41.000Z,0,0,0,0,0,0,0,0
1653801,55891,2021-10-16T05:42:41.000Z,0,0,0,0,0,0,0,0
1653845,55891,2021-10-16T05:43:41.000Z,0,0,0,0,0,0,0,0
1653889,55891,2021-10-16T05:44:41.000Z,0,0,0,0,0,0,0,0
1653933,55891,2021-10-16T05:45:41.000Z,0,0,0,0,0,0,0,0
1653977,55891,2021-10-16T05:46:41.000Z,0,0,0,0,0,0,0,0
1654021,55891,2021-10-16T05:47:41.000Z,0,0,0,0,0,0,0,0
1654065,55891,2021-10-16T05:48:41.000Z,0,0,0,0,0,0,0,0
1654109,55891,2021-10-16T05:49:41.000Z,0,0,0,0,0,0,0,0
1654153,55891,2021-10-16T05:50:41.000Z,0,0,0,0,0,0,0,0
1654197,55891,2021-10-16T05:51:41.000Z,0,0,0,0,0,0,0,0
