id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5
7304637,57226,2022-05-04T19:22:32.000Z,0,0,0,0,0,0
7304669,57226,2022-05-04T19:23:32.000Z,0,0,0,0,0,0
7304701,57226,2022-05-04T19:24:32.000Z,0,0,0,0,0,0
7304733,57226,2022-05-04T19:25:32.000Z,0,0,0,0,0,0
7304765,57226,2022-05-04T19:26:32.000Z,0,0,0,0,0,0
7304797,57226,2022-05-04T19:27:32.000Z,0,0,0,0,0,0
7304829,57226,2022-05-04T19:28:32.000Z,0,0,0,0,0,0
7304861,57226,2022-05-04T19:29:32.000Z,0,0,0,0,0,0
7304889,57226,2022-05-04T19:30:32.000Z,0,0,0,0,0,0
7304921,57226,2022-05-04T19:31:32.000Z,0,0,0,0,0,0
7304953,57226,2022-05-04T19:32:32.000Z,0,0,0,0,0,0
7304985,57226,2022-05-04T19:33:32.000Z,0,0,0,0,0,0
7305017,57226,2022-05-04T19:34:32.000Z,0,0,0,0,0,0
7305049,57226,2022-05-04T19:35:32.000Z,0,0,0,0,0,0
7305081,57226,2022-05-04T19:36:32.000Z,0,0,0,0,0,0
7305113,57226,2022-05-04T19:37:32.000Z,0,0,0,0,0,0
7305145,57226,2022-05-04T19:38:32.000Z,0,0,0,0,0,0
7305177,57226,2022-05-04T19:39:32.000Z,0,0,0,0,0,0
7305209,57226,2022-05-04T19:40:32.000Z,0,0,0,0,0,0
7305241,57226,2022-05-04T19:41:32.000Z,0,0,0,0,0,0
7305273,57226,2022-05-04T19:42:32.000Z,0,0,0,0,0,0
7305305,57226,2022-05-04T19:43:32.000Z,0,0,0,0,0,0
7305337,57226,2022-05-04T19:44:32.000Z,0,0,0,0,0,0
7305369,57226,2022-05-04T19:45:32.000Z,0,0,0,0,0,0
7305401,57226,2022-05-04T19:46:32.000Z,0,0,0,0,0,0
7305433,57226,2022-05-04T19:47:32.000Z,0,0,0,0,0,0
7305465,57226,2022-05-04T19:48:32.000Z,0,0,0,0,0,0
7305497,57226,2022-05-04T19:49:32.000Z,0,0,0,0,0,0
7305529,57226,2022-05-04T19:50:32.000Z,0,0,0,0,0,0
7305561,57226,2022-05-04T19:51:32.000Z,0,0,0,0,0,0
7305593,57226,2022-05-04T19:52:32.000Z,0,0,0,0,0,0
7305625,57226,2022-05-04T19:53:32.000Z,0,0,0,0,0,0
7305657,57226,2022-05-04T19:54:32.000Z,0,0,0,0,0,0
7305689,57226,2022-05-04T19:55:32.000Z,0,0,0,0,0,0
7305721,57226,2022-05-04T19:56:32.000Z,0,0,0,0,0,0
7305753,57226,2022-05-04T19:57:32.000Z,0,0,0,0,0,0
7305785,57226,2022-05-04T19:58:32.000Z,0,0,0,0,0,0
7305817,57226,2022-05-04T19:59:32.000Z,0,0,0,0,0,0
7305849,57226,2022-05-04T20:00:32.000Z,0,0,0,0,0,0
7305881,57226,2022-05-04T20:01:32.000Z,0,0,0,0,0,0
7305913,57226,2022-05-04T20:02:32.000Z,0,0,0,0,0,0
7305945,57226,2022-05-04T20:03:32.000Z,0,0,0,0,0,0
7305977,57226,2022-05-04T20:04:32.000Z,0,0,0,0,0,0
7306009,57226,2022-05-04T20:05:32.000Z,0,0,0,0,0,0
7306041,57226,2022-05-04T20:06:32.000Z,0,0,0,0,0,0
7306073,57226,2022-05-04T20:07:32.000Z,0,0,0,0,0,0
7306105,57226,2022-05-04T20:08:32.000Z,0,0,0,0,0,0
7306137,57226,2022-05-04T20:09:32.000Z,0,0,0,0,0,0
7306169,57226,2022-05-04T20:10:32.000Z,0,0,0,0,0,0
7306197,57226,2022-05-04T20:11:32.000Z,0,0,0,0,0,0
7306229,57226,2022-05-04T20:12:32.000Z,0,0,0,0,0,0
7306261,57226,2022-05-04T20:13:32.000Z,0,0,0,0,0,0
7306293,57226,2022-05-04T20:14:32.000Z,0,0,0,0,0,0
7306325,57226,2022-05-04T20:15:32.000Z,0,0,0,0,0,0
7306357,57226,2022-05-04T20:16:32.000Z,0,0,0,0,0,0
7306389,57226,2022-05-04T20:17:32.000Z,0,0,0,0,0,0
7306421,57226,2022-05-04T20:18:32.000Z,0,0,0,0,0,0
7306453,57226,2022-05-04T20:19:32.000Z,0,0,0,0,0,0
7306485,57226,2022-05-04T20:20:32.000Z,0,0,0,0,0,0
7306517,57226,2022-05-04T20:21:32.000Z,0,0,0,0,0,0
7306549,57226,2022-05-04T20:22:32.000Z,0,0,0,0,0,0
7306581,57226,2022-05-04T20:23:32.000Z,0,0,0,0,0,0
7306613,57226,2022-05-04T20:24:32.000Z,0,0,0,0,0,0
7306645,57226,2022-05-04T20:25:32.000Z,0,0,0,0,0,0
7306677,57226,2022-05-04T20:26:32.000Z,0,0,0,0,0,0
7306709,57226,2022-05-04T20:27:32.000Z,0,0,0,0,0,0
7306741,57226,2022-05-04T20:28:32.000Z,0,0,0,0,0,0
7306773,57226,2022-05-04T20:29:32.000Z,0,0,0,0,0,0
7306805,57226,2022-05-04T20:30:32.000Z,0,0,0,0,0,0
7306837,57226,2022-05-04T20:31:32.000Z,0,0,0,0,0,0
7306869,57226,2022-05-04T20:32:32.000Z,0,0,0,0,0,0
7306901,57226,2022-05-04T20:33:32.000Z,0,0,0,0,0,0
7306933,57226,2022-05-04T20:34:32.000Z,0,0,0,0,0,0
7306965,57226,2022-05-04T20:35:32.000Z,0,0,0,0,0,0
7306997,57226,2022-05-04T20:36:32.000Z,0,0,0,0,0,0
7307029,57226,2022-05-04T20:37:32.000Z,0,0,0,0,0,0
7307061,57226,2022-05-04T20:38:32.000Z,0,0,0,0,0,0
7307093,57226,2022-05-04T20:39:32.000Z,0,0,0,0,0,0
7307125,57226,2022-05-04T20:40:32.000Z,0,0,0,0,0,0
7307157,57226,2022-05-04T20:41:32.000Z,0,0,0,0,0,0
7307189,57226,2022-05-04T20:42:32.000Z,0,0,0,0,0,0
7307221,57226,2022-05-04T20:43:32.000Z,0,0,0,0,0,0
7307253,57226,2022-05-04T20:44:32.000Z,0,0,0,0,0,0
7307285,57226,2022-05-04T20:45:32.000Z,0,0,0,0,0,0
7307317,57226,2022-05-04T20:46:32.000Z,0,0,0,0,0,0
7307349,57226,2022-05-04T20:47:32.000Z,0,0,0,0,0,0
7307381,57226,2022-05-04T20:48:32.000Z,0,0,0,0,0,0
7307413,57226,2022-05-04T20:49:32.000Z,0,0,0,0,0,0
7307445,57226,2022-05-04T20:50:32.000Z,0,0,0,0,0,0
7307477,57226,2022-05-04T20:51:32.000Z,0,0,0,0,0,0
7307509,57226,2022-05-04T20:52:32.000Z,0,0,0,0,0,0
7307541,57226,2022-05-04T20:53:32.000Z,0,0,0,0,0,0
7307573,57226,2022-05-04T20:54:32.000Z,0,0,0,0,0,0
7307605,57226,2022-05-04T20:55:32.000Z,0,0,0,0,0,0
7307637,57226,2022-05-04T20:56:32.000Z,0,0,0,0,0,0
7307669,57226,2022-05-04T20:57:32.000Z,0,0,0,0,0,0
7307701,57226,2022-05-04T20:58:32.000Z,0,0,0,0,0,0
7307733,57226,2022-05-04T20:59:32.000Z,0,0,0,0,0,0
7307765,57226,2022-05-04T21:00:32.000Z,0,0,0,0,0,0
7307797,57226,2022-05-04T21:01:32.000Z,0,0,0,0,0,0
7307829,57226,2022-05-04T21:02:32.000Z,0,0,0,0,0,0
7307861,57226,2022-05-04T21:03:32.000Z,0,0,0,0,0,0
7307893,57226,2022-05-04T21:04:32.000Z,0,0,0,0,0,0
7307925,57226,2022-05-04T21:05:32.000Z,0,0,0,0,0,0
7307957,57226,2022-05-04T21:06:32.000Z,0,0,0,0,0,0
7307989,57226,2022-05-04T21:07:32.000Z,0,0,0,0,0,0
7308021,57226,2022-05-04T21:08:32.000Z,0,0,0,0,0,0
7308053,57226,2022-05-04T21:09:32.000Z,0,0,0,0,0,0
7308085,57226,2022-05-04T21:10:32.000Z,0,0,0,0,0,0
7308117,57226,2022-05-04T21:11:32.000Z,0,0,0,0,0,0
7308149,57226,2022-05-04T21:12:32.000Z,0,0,0,0,0,0
7308181,57226,2022-05-04T21:13:32.000Z,0,0,0,0,0,0
7308213,57226,2022-05-04T21:14:32.000Z,0,0,0,0,0,0
7308245,57226,2022-05-04T21:15:32.000Z,0,0,0,0,0,0
7308277,57226,2022-05-04T21:16:32.000Z,0,0,0,0,0,0
7308305,57226,2022-05-04T21:17:32.000Z,0,0,0,0,0,0
7308341,57226,2022-05-04T21:18:32.000Z,0,0,0,0,0,0
7308373,57226,2022-05-04T21:19:32.000Z,0,0,0,0,0,0
7308401,57226,2022-05-04T21:20:32.000Z,0,0,0,0,0,0
7308433,57226,2022-05-04T21:21:32.000Z,0,0,0,0,0,0
7308465,57226,2022-05-04T21:22:32.000Z,0,0,0,0,0,0
7308497,57226,2022-05-04T21:23:32.000Z,0,0,0,0,0,0
7308529,57226,2022-05-04T21:24:32.000Z,0,0,0,0,0,0
7308561,57226,2022-05-04T21:25:32.000Z,0,0,0,0,0,0
7308593,57226,2022-05-04T21:26:32.000Z,0,0,0,0,0,0
7308625,57226,2022-05-04T21:27:32.000Z,0,0,0,0,0,0
7308657,57226,2022-05-04T21:28:32.000Z,0,0,0,0,0,0
7308689,57226,2022-05-04T21:29:32.000Z,0,0,0,0,0,0
7308721,57226,2022-05-04T21:30:32.000Z,0,0,0,0,0,0
7308753,57226,2022-05-04T21:31:32.000Z,0,0,0,0,0,0
7308785,57226,2022-05-04T21:32:32.000Z,0,0,0,0,0,0
