,id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7,chan_8,chan_9
26314,3794275,89776,2021-12-14 16:36:13,0,0,0,0,0,0,0,0,0,0
26315,3794295,89776,2021-12-14 16:37:13,0,0,0,0,0,0,0,0,0,0
26316,3794315,89776,2021-12-14 16:38:13,0,0,0,0,0,0,0,0,0,0
26317,3794335,89776,2021-12-14 16:39:13,0,0,0,0,0,0,0,0,0,0
26318,3794355,89776,2021-12-14 16:40:13,0,0,0,0,0,0,0,0,0,0
26319,3794375,89776,2021-12-14 16:41:13,0,0,0,0,0,0,0,0,0,0
26320,3794395,89776,2021-12-14 16:42:13,0,0,0,0,0,0,0,0,0,0
26321,3794415,89776,2021-12-14 16:43:13,0,0,0,0,2248,134,0,0,0,0
26322,3794435,89776,2021-12-14 16:44:13,0,0,0,0,6295,377,0,0,0,0
26323,3794455,89776,2021-12-14 16:45:13,0,0,0,0,744,44,0,0,0,0
26324,3794475,89776,2021-12-14 16:46:13,0,0,0,0,0,0,0,0,0,0
26325,3794495,89776,2021-12-14 16:47:13,0,0,0,0,0,0,0,0,0,0
26326,3794515,89776,2021-12-14 16:48:13,0,0,0,0,0,0,0,0,0,0
26327,3794535,89776,2021-12-14 16:49:13,0,0,0,0,0,0,0,0,0,0
26328,3794555,89776,2021-12-14 16:50:13,0,0,0,0,0,0,0,0,0,0
26329,3794575,89776,2021-12-14 16:51:13,0,0,0,0,0,0,0,0,0,0
26330,3794595,89776,2021-12-14 16:52:13,0,0,0,0,0,0,0,0,0,0
26331,3794615,89776,2021-12-14 16:53:13,0,0,0,0,0,0,0,0,0,0
26332,3794635,89776,2021-12-14 16:54:13,0,0,0,0,0,0,0,0,0,0
26333,3794655,89776,2021-12-14 16:55:13,0,0,0,0,0,0,0,0,0,0
26334,3794675,89776,2021-12-14 16:56:13,0,0,0,0,0,0,0,0,0,0
26335,3794695,89776,2021-12-14 16:57:13,0,0,0,0,0,0,0,0,0,0
26336,3794715,89776,2021-12-14 16:58:13,0,0,0,0,0,0,0,0,0,0
26337,3794735,89776,2021-12-14 16:59:13,0,0,0,0,0,0,0,0,0,0
26338,3794755,89776,2021-12-14 17:00:13,0,0,0,0,0,0,0,0,0,0
26339,3794775,89776,2021-12-14 17:01:13,0,0,0,0,0,0,0,0,0,0
26340,3794795,89776,2021-12-14 17:02:13,0,0,0,0,0,0,0,0,0,0
26341,3794815,89776,2021-12-14 17:03:13,0,0,0,0,0,0,0,0,0,0
26342,3794835,89776,2021-12-14 17:04:13,0,0,0,0,0,0,0,0,0,0
26343,3794855,89776,2021-12-14 17:05:13,0,0,0,0,0,0,0,0,0,0
26344,3794875,89776,2021-12-14 17:06:13,0,0,0,0,0,0,0,0,0,0
26345,3794895,89776,2021-12-14 17:07:13,0,0,0,0,0,0,0,0,0,0
26346,3794915,89776,2021-12-14 17:08:13,0,0,0,0,0,0,0,0,0,0
26347,3794935,89776,2021-12-14 17:09:13,0,0,0,0,0,0,0,0,0,0
26348,3794955,89776,2021-12-14 17:10:13,0,0,0,0,0,0,0,0,0,0
26349,3794975,89776,2021-12-14 17:11:13,0,0,0,0,0,0,0,0,0,0
26350,3794995,89776,2021-12-14 17:12:13,0,0,0,0,0,0,0,0,0,0
26351,3795015,89776,2021-12-14 17:13:13,0,0,0,0,0,0,0,0,0,0
26352,3795035,89776,2021-12-14 17:14:13,0,0,0,0,0,0,0,0,0,0
26353,3795055,89776,2021-12-14 17:15:13,0,0,0,0,0,0,0,0,0,0
26354,3795075,89776,2021-12-14 17:16:13,0,0,0,0,0,0,0,0,0,0
26355,3795095,89776,2021-12-14 17:17:13,0,0,0,0,0,0,0,0,0,0
26356,3795115,89776,2021-12-14 17:18:13,0,0,0,0,0,0,0,0,0,0
26357,3795135,89776,2021-12-14 17:19:13,0,0,0,0,0,0,0,0,0,0
26358,3795155,89776,2021-12-14 17:20:13,0,0,0,0,0,0,0,0,0,0
26359,3795175,89776,2021-12-14 17:21:13,0,0,0,0,0,0,0,0,0,0
26360,3795195,89776,2021-12-14 17:22:13,0,0,0,0,0,0,0,0,0,0
26361,3795215,89776,2021-12-14 17:23:13,0,0,0,0,0,0,0,0,0,0
26362,3795235,89776,2021-12-14 17:24:13,0,0,0,0,0,0,0,0,0,0
26363,3795255,89776,2021-12-14 17:25:13,0,0,0,0,0,0,0,0,0,0
26364,3795275,89776,2021-12-14 17:26:13,0,0,0,0,0,0,0,0,0,0
26365,3795295,89776,2021-12-14 17:27:13,0,0,0,0,0,0,0,0,0,0
26366,3795315,89776,2021-12-14 17:28:13,0,0,0,0,0,0,0,0,0,0
26367,3795335,89776,2021-12-14 17:29:13,0,0,0,0,0,0,0,0,0,0
26368,3795355,89776,2021-12-14 17:30:13,0,0,0,0,0,0,0,0,0,0
26369,3795375,89776,2021-12-14 17:31:13,0,0,0,0,0,0,0,0,0,0
26370,3795395,89776,2021-12-14 17:32:13,0,0,0,0,0,0,0,0,0,0
26371,3795415,89776,2021-12-14 17:33:13,0,0,0,0,0,0,0,0,0,0
26372,3795435,89776,2021-12-14 17:34:13,0,0,0,0,0,0,0,0,0,0
26373,3795455,89776,2021-12-14 17:35:13,0,0,0,0,0,0,0,0,0,0
26374,3795475,89776,2021-12-14 17:36:13,0,0,0,0,0,0,0,0,0,0
26375,3795495,89776,2021-12-14 17:37:13,0,0,0,0,0,0,0,0,0,0
26376,3795515,89776,2021-12-14 17:38:13,0,0,0,0,0,0,0,0,0,0
26377,3795535,89776,2021-12-14 17:39:13,0,0,0,0,0,0,0,0,0,0
26378,3795555,89776,2021-12-14 17:40:13,0,0,0,0,0,0,0,0,0,0
26379,3795575,89776,2021-12-14 17:41:13,0,0,0,0,0,0,0,0,0,0
26380,3795595,89776,2021-12-14 17:42:13,0,0,0,0,0,0,0,0,0,0
26381,3795615,89776,2021-12-14 17:43:13,0,0,0,0,0,0,0,0,0,0
26382,3795635,89776,2021-12-14 17:44:13,0,0,0,0,0,0,0,0,0,0
26383,3795655,89776,2021-12-14 17:45:13,0,0,0,0,0,0,0,0,0,0
26384,3795675,89776,2021-12-14 17:46:13,0,0,0,0,0,0,0,0,0,0
26385,3795695,89776,2021-12-14 17:47:13,0,0,0,0,0,0,0,0,0,0
26386,3795715,89776,2021-12-14 17:48:13,0,0,0,0,0,0,0,0,0,0
26387,3795735,89776,2021-12-14 17:49:13,0,0,0,0,0,0,0,0,0,0
26388,3795755,89776,2021-12-14 17:50:13,0,0,0,0,0,0,0,0,0,0
26389,3795775,89776,2021-12-14 17:51:13,0,0,0,0,0,0,0,0,0,0
26390,3795795,89776,2021-12-14 17:52:13,0,0,0,0,0,0,0,0,0,0
26391,3795815,89776,2021-12-14 17:53:13,0,0,0,0,0,0,0,0,0,0
26392,3795835,89776,2021-12-14 17:54:13,0,0,0,0,0,0,0,0,0,0
26393,3795855,89776,2021-12-14 17:55:13,0,0,0,0,0,0,0,0,0,0
26394,3795875,89776,2021-12-14 17:56:13,0,0,0,0,0,0,0,0,0,0
26395,3795895,89776,2021-12-14 17:57:13,0,0,0,0,0,0,0,0,0,0
