id,sensorId,timestamp,chan_0,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7,chan_8,chan_9
4016957,89776,2021-12-21T14:09:42.000Z,0,0,0,0,0,0,0,0,0,0
4016977,89776,2021-12-21T14:10:42.000Z,0,0,0,0,0,0,0,0,0,0
4016997,89776,2021-12-21T14:11:42.000Z,0,0,0,0,0,0,0,0,0,0
4017017,89776,2021-12-21T14:12:42.000Z,0,0,0,0,0,0,0,0,0,0
4017037,89776,2021-12-21T14:13:42.000Z,0,0,0,0,0,0,0,0,0,0
4017057,89776,2021-12-21T14:14:42.000Z,0,0,0,0,0,0,0,0,0,0
4017077,89776,2021-12-21T14:15:42.000Z,0,0,0,0,0,0,0,0,0,0
4017097,89776,2021-12-21T14:16:42.000Z,0,0,0,0,0,0,0,0,0,0
4017117,89776,2021-12-21T14:17:42.000Z,0,0,0,0,0,0,0,0,0,0
4017137,89776,2021-12-21T14:18:42.000Z,0,0,0,0,0,0,0,0,0,0
4017157,89776,2021-12-21T14:19:42.000Z,0,0,0,0,0,0,0,0,0,0
4017177,89776,2021-12-21T14:20:42.000Z,0,0,0,0,0,0,0,0,0,0
4017197,89776,2021-12-21T14:21:42.000Z,0,0,0,0,0,0,0,0,0,0
4017217,89776,2021-12-21T14:22:42.000Z,0,0,0,0,0,0,0,0,0,0
4017237,89776,2021-12-21T14:23:42.000Z,0,0,0,0,0,0,0,0,0,0
4017257,89776,2021-12-21T14:24:42.000Z,0,0,0,0,0,0,0,0,0,0
4017277,89776,2021-12-21T14:25:42.000Z,0,0,0,0,0,0,0,0,0,0
4017297,89776,2021-12-21T14:26:42.000Z,0,0,0,0,0,0,0,0,0,0
4017317,89776,2021-12-21T14:27:42.000Z,0,0,0,0,0,0,0,0,0,0
4017337,89776,2021-12-21T14:28:42.000Z,0,0,0,0,0,0,0,0,0,0
4017357,89776,2021-12-21T14:29:42.000Z,0,0,0,0,0,0,0,0,0,0
4017377,89776,2021-12-21T14:30:42.000Z,0,0,0,0,0,0,0,0,0,0
4017397,89776,2021-12-21T14:31:42.000Z,0,0,0,0,0,0,0,0,0,0
4017417,89776,2021-12-21T14:32:42.000Z,0,0,0,0,0,0,0,0,0,0
4017437,89776,2021-12-21T14:33:42.000Z,0,0,0,0,0,0,0,0,0,0
4017457,89776,2021-12-21T14:34:42.000Z,0,0,0,0,0,0,0,0,0,0
4017477,89776,2021-12-21T14:35:42.000Z,0,0,0,0,0,0,0,0,0,0
4017497,89776,2021-12-21T14:36:42.000Z,0,0,0,0,0,0,0,0,0,0
4017517,89776,2021-12-21T14:37:42.000Z,0,0,0,0,0,0,0,0,0,0
4017537,89776,2021-12-21T14:38:42.000Z,0,0,0,0,0,0,0,0,0,0
4017557,89776,2021-12-21T14:39:42.000Z,0,0,0,0,0,0,0,0,0,0
4017577,89776,2021-12-21T14:40:42.000Z,0,0,0,0,0,0,0,0,0,0
4017597,89776,2021-12-21T14:41:42.000Z,0,0,0,0,0,0,0,0,0,0
4017617,89776,2021-12-21T14:42:42.000Z,0,0,0,0,0,0,0,0,0,0
4017637,89776,2021-12-21T14:43:42.000Z,0,0,0,0,0,0,0,0,0,0
4017657,89776,2021-12-21T14:44:42.000Z,0,0,0,0,0,0,0,0,0,0
4017677,89776,2021-12-21T14:45:42.000Z,0,0,0,0,0,0,0,0,0,0
4017697,89776,2021-12-21T14:46:42.000Z,0,0,0,0,0,0,0,0,0,0
4017717,89776,2021-12-21T14:47:42.000Z,0,0,0,0,0,0,0,0,0,0
4017737,89776,2021-12-21T14:48:42.000Z,0,0,0,0,0,0,0,0,0,0
4017757,89776,2021-12-21T14:49:42.000Z,0,0,0,0,0,0,0,0,0,0
4017777,89776,2021-12-21T14:50:42.000Z,0,0,0,0,0,0,0,0,0,0
4017797,89776,2021-12-21T14:51:42.000Z,0,0,0,0,0,0,0,0,0,0
4017817,89776,2021-12-21T14:52:42.000Z,0,0,0,0,0,0,0,0,0,0
4017837,89776,2021-12-21T14:53:42.000Z,0,0,0,0,0,0,0,0,0,0
4017857,89776,2021-12-21T14:54:42.000Z,0,0,0,0,0,0,0,0,0,0
4017877,89776,2021-12-21T14:55:42.000Z,0,0,0,0,0,0,0,0,0,0
4017897,89776,2021-12-21T14:56:42.000Z,0,0,0,0,0,0,0,0,0,0
4017917,89776,2021-12-21T14:57:42.000Z,0,0,0,0,0,0,0,0,0,0
4017937,89776,2021-12-21T14:58:42.000Z,0,0,0,0,0,0,0,0,0,0
4017957,89776,2021-12-21T14:59:42.000Z,0,0,0,0,0,0,0,0,0,0
4017977,89776,2021-12-21T15:00:42.000Z,0,0,0,0,0,0,0,0,0,0
4017997,89776,2021-12-21T15:01:42.000Z,0,0,0,0,0,0,0,0,0,0
4018017,89776,2021-12-21T15:02:42.000Z,0,0,0,0,0,0,0,0,0,0
4018037,89776,2021-12-21T15:03:42.000Z,0,0,0,0,0,0,0,0,0,0
4018057,89776,2021-12-21T15:04:42.000Z,0,0,0,0,0,0,0,0,0,0
4018077,89776,2021-12-21T15:05:42.000Z,0,0,0,0,0,0,0,0,0,0
4018097,89776,2021-12-21T15:06:43.000Z,0,0,0,0,0,0,0,0,0,0
4018117,89776,2021-12-21T15:07:42.000Z,0,0,0,0,0,0,0,0,0,0
4018137,89776,2021-12-21T15:08:42.000Z,0,0,0,0,0,0,0,0,0,0
4018157,89776,2021-12-21T15:09:42.000Z,0,0,0,0,0,0,0,0,0,0
4018177,89776,2021-12-21T15:10:42.000Z,0,0,0,0,0,0,0,0,0,0
