Code_Year_Month,Postal_Code,Customer_Class,Total_Gallons
201203,78756,Irrigation - Multi-Family,55800
201203,78757,Residential,29137800
201203,78757,Irrigation - Residential,56400
201203,78757,Irrigation - Multi-Family,32200
201203,78757,Multi-Family,14223700
201203,78758,Residential,38041300
201203,78758,Irrigation - Multi-Family,1046100
201203,78758,Irrigation - Residential,
201203,78758,Multi-Family,49231300
201203,78759,Multi-Family,32077100
201203,78759,Irrigation - Multi-Family,632100
201203,78759,Irrigation - Residential,34900
201203,78759,Residential,48470400
201204,78613,Multi-Family,25500
201204,78613,Irrigation - Multi-Family,58000
201204,78617,Multi-Family,1909300
201204,78617,Residential,18598700
201204,78652,Irrigation - Residential,19500
201204,78652,Multi-Family,313900
201204,78652,Residential,797700
201204,78653,Multi-Family,134300
201204,78653,Residential,1998800
201204,78660,Irrigation - Residential,12900
201204,78660,Multi-Family,2790400
201204,78660,Residential,7749100
201204,78701,Irrigation - Multi-Family,168200
201204,78701,Multi-Family,12280500
201204,78701,Residential,1116900
201204,78702,Irrigation - Multi-Family,469300
201204,78702,Irrigation - Residential,37100
201204,78702,Multi-Family,8541600
201204,78702,Residential,26553700
201204,78703,Irrigation - Multi-Family,357300
201204,78703,Irrigation - Residential,1041600
201204,78703,Multi-Family,13368800
201204,78703,Residential,47006200
201204,78704,Multi-Family,44992300
201204,78704,Residential,43624800
201204,78704,Irrigation - Multi-Family,770100
201204,78704,Irrigation - Residential,162400
201204,78705,Residential,9358300
201204,78705,Irrigation - Multi-Family,360800
201204,78705,Irrigation - Residential,42700
201204,78705,Multi-Family,30669400
201204,78717,Multi-Family,7178500
201204,78717,Irrigation - Multi-Family,2160500
201204,78717,Residential,37056200
201204,78717,Irrigation - Residential,9400
201204,78719,Residential,1472900
201204,78719,Multi-Family,583800
201204,78721,Multi-Family,4236300
201204,78721,Residential,15044600
201204,78721,Irrigation - Multi-Family,
201204,78721,Irrigation - Residential,1900
201204,78722,Irrigation - Multi-Family,32900
201204,78722,Multi-Family,2780700
201204,78722,Residential,8168500
