ID,Consumer,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,Media_01,Media_02,Media_03,Media_04,Media_05,Media_06,Media_07,Media_08,Media_09,Media_10,Media_11,Media_12,,
27,Residential,28357400,23851800,26534300,26553700,29290800,32392100,32415400,33018600,31550200,27999900,27962400,26523400,28370700,24284400,26381000,26641500,27673100,28293000,31513200,31268100,30885800,26484800,24675200,24632200,27607100,23531000,23440900,25609800,26423100,26887000,26901000,29060700,30739000,25340000,26420300,23797200,26975500,21555100,23112000,23950600,23150000,24727300,26407600,30160700,28509900,27387200,23602500,23596300,24819800,22973900,23728500,23782600,22540200,24956200,28521700,27648900,26109100,25636700,24304300,23862300,24409300,20742300,23246700,23210800,25230800,26068800,28429800,28698600,27231200,8570300,26756633.33,22823083.33,24407233.33,24958166.67,25718000,27220733.33,29031450,29975933.33,29170866.67,23569816.67,25620222.22,24205747.22,,
28,Irrigation - Residential,7800,6300,27000,37100,33500,30800,26500,11100,34200,19500,21700,30300,7200,46800,26500,30300,27800,30200,38500,24000,50900,21000,600,1100,8700,12000,12000,19600,18900,44200,20900,29600,29300,17200,35200,18200,38200,19000,18500,18100,25600,12600,7700,42500,50800,41200,17000,75000,51000,15300,14300,16200,18900,20200,11400,13500,16600,27400,12800,12900,12900,1000,2000,1800,14700,3400,900,38700,29300,0,20966.66667,16733.33333,16716.66667,20516.66667,23233.33333,23566.66667,17650,26566.66667,35183.33333,21050,18044.44444,25705.55556,,
29,Multi-Family,13884400,12749600,14006400,13368800,15141400,15676800,15379000,16526200,16710400,14916600,14767600,14152400,13589200,12954100,13081000,13600500,14113400,13824600,13954300,14477200,15079900,13728300,13527100,12409200,13626400,12542200,12338500,13242700,13824000,12989900,13474900,14602200,15006900,13394300,14038100,12680000,13782500,15351400,13076600,13345700,13242200,13698900,14761600,16440200,16529600,15942400,13774000,14421900,13947100,13247600,13456400,14529700,13093900,14474800,14882600,15213900,16076800,15442700,14932100,13787300,14354600,12987800,13889400,13466200,13971300,14143700,14103400,14994900,16232600,5806100,13864033.33,13305450,13308050,13592266.67,13897700,14134783.33,14425966.67,15375766.67,15939366.67,13205066.67,14150488.89,13459375,,
30,Irrigation - Multi-Family,433700,312500,228200,357300,588100,967200,986800,1017400,1166600,780100,673000,541700,398200,403700,491800,498400,595700,655400,745000,848000,909800,718700,606500,405400,314200,282400,319800,514300,669900,497200,654700,851300,1105900,1077800,908800,696700,679900,350100,376800,418800,591300,531800,936500,1527600,1502900,1122000,843800,476400,345100,268200,299200,542100,363600,446500,1074300,1944000,1728000,1327300,943600,556800,317400,392800,388000,459700,568600,776800,978400,1256900,1069100,628200,414750,334950,350633.3333,465100,562866.6667,645816.6667,895950,1240866.667,1247050,942350,731741.6667,501991.6667,,
31,Residential,43033500,37295800,39369600,47006200,65578700,77404200,87302400,87208800,91129100,65816800,64135200,61065600,54436900,43588700,51836200,55484800,57419400,59800700,73544800,78720000,84456900,60842100,44931800,38440600,40862400,37380500,38182000,47269200,56354600,54628600,56272500,67396000,77967500,55551400,54616300,41759200,44526900,31463500,34954800,39866300,37719900,38157800,57478300,86947700,85956200,74983500,47516400,38633200,37482400,40594200,45069200,42819300,38389300,45730800,72539900,74588900,62974000,62675500,53397100,41080900,40232600,35143900,41524500,43559300,57073000,59552900,74002600,77291200,75878100,22693200,43429116.67,37577766.67,41822716.67,46000850,52089150,55879166.67,70190083.33,78692100,79726966.67,57093750,51337652.78,43092877.78,,
32,Irrigation - Residential,784300,654000,649100,1041600,1701700,1929800,2309700,2162000,2286500,1563000,1561800,1522500,1144900,852600,1388200,1399400,1338800,1314600,1792200,1990300,2046300,1455400,796600,475000,534400,464600,625100,938900,1356900,1148700,1218200,1618200,1828400,1182600,1187900,552600,415000,268300,356000,643300,527400,555100,1258000,2704000,2408600,1846100,857100,388500,329300,638200,903800,765000,505000,710600,1829600,2118800,1507200,1410100,1212300,731000,541600,569100,688800,852500,1305200,1427700,1741100,1997800,2058900,618300,624916.6667,574466.6667,768500,940116.6667,1122500,1181083.333,1691466.667,2098516.667,2022650,1345916.667,1040102.778,707344.4444,,
33,Multi-Family,48585100,43075000,46078600,44992300,49476300,50197800,50265900,52928100,52965900,49098800,50079900,47396500,47498600,45135200,44297100,45181700,48126100,47386600,46261600,50287000,49536900,49319400,49245500,47136300,47442500,44951300,44689100,47652600,45991700,47211800,47030600,50072800,53968600,50309500,50596400,45823200,50321200,44938500,46025600,47215600,45776300,46738100,48204700,53988800,55360500,55767700,49842700,51165800,51818200,48617000,52554600,50649400,49987000,52994300,54968200,55870400,56714900,54832300,52286900,52554800,54943700,48420200,51189000,51092100,50872300,51698100,57285400,52689100,57192000,35024700,50101550,45856200,47472333.33,47797283.33,48371616.67,49371116.67,50669400,52639366.67,54289800,49058733.33,50358825,48322133.33,,
34,Irrigation - Multi-Family,836600,761700,796100,770100,1991800,2197800,2756700,3007200,2999700,2546100,2228400,1471500,1005400,972800,1418300,1589500,2020300,2327900,2407500,3675600,3718000,3461900,1665400,1479500,827100,806200,683600,1281000,1875400,2696700,2656300,2894300,3912300,3065400,1808600,986600,692200,346700,354500,934800,1758600,1669400,2537500,5572500,5922600,4734300,3569500,2311700,1989000,1830100,2107500,2108400,2472800,2808700,4057100,6169200,4830500,4172000,3817400,3069800,2344000,1768200,2341400,2911500,3796800,4505500,5249200,5850900,6674000,4451000,1282383.333,1080950,1283566.667,1599216.667,2319283.333,2701000,3277383.333,4528283.333,4676183.333,3738450,2395280.556,1733341.667,,
35,Residential,41373500,36101000,40437200,43624800,55223600,63621100,68150600,71085800,65413000,49172100,51099000,49236300,47190600,39592600,44101100,46225000,48425400,51138100,64895600,68233400,66433700,49282500,40991600,39068400,43305200,38039200,38755600,44749900,48865200,46928600,49377700,58403500,63379000,45825200,46148000,37828400,41614900,32867800,37290400,39082400,36753400,36974200,47687200,66626600,61131000,57050900,40492500,37162600,37537300,37127500,40251100,41429900,36979600,42430000,59735100,60704900,48977600,48827100,44706300,40123400,39773700,33906900,39207100,39434100,47815800,48618400,59871000,61664500,56752100,20073900,41799200,36272500,40007083.33,42424350,45677166.67,48285066.67,58286200,64453116.67,60347733.33,45038616.67,44206100,39948600,,
36,Irrigation - Residential,104800,101400,134500,162400,258400,255600,292400,318200,340100,214500,174400,205200,208200,105700,175400,239000,193000,158000,203300,242900,330100,237900,119500,78600,81700,96800,73800,140200,185500,192300,229400,320500,384400,198900,228800,105800,156700,46700,105900,106900,76400,118700,233700,359600,419000,389400,156200,88100,47700,125000,161000,135100,177800,146600,345300,364800,261500,255600,186400,161500,54200,79000,105800,170800,230900,202300,366500,328100,302800,96300,108883.3333,92433.33333,126066.6667,159066.6667,187000,178916.6667,278433.3333,322350,339650,232100,162363.8889,121938.8889,,
