ID,Consumer,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,Media_01,Media_02,Media_03,Media_04,Media_05,Media_06,Media_07,Media_08,Media_09,Media_10,Media_11,Media_12,,
78,Irrigation - Multi-Family,502200,458300,485100,1550400,2469700,1667100,1634700,2049400,1942900,1690700,1016200,972100,1162800,889000,672800,768900,529000,616300,682300,1073100,849300,647300,654900,157100,182300,112700,250900,637700,678700,1328600,1124400,1465800,1616100,1613500,1100200,936500,207100,146500,225000,392500,354600,451600,787300,1611600,1408500,1444700,1021300,611000,411600,572300,649100,977300,1006900,1045000,1279000,1463300,1025500,1146100,1453900,1129900,399600,370900,132900,337200,941600,1193800,1436200,1741000,1522700,205400,477600,424950,402633.3333,777333.3333,996750,1050400,1157316.667,1567366.667,1394166.667,1124616.667,954016.6667,705258.3333,,
79,Residential,5074900,4247700,4234700,7678500,21571200,21913100,29226500,22288300,29184400,18867600,16470000,17594800,13538000,8912900,11852100,13564100,18211500,16378200,21473500,22516200,27185900,17218700,10156600,8818600,9334700,8209000,8599000,11167900,16189100,16486400,16967500,21171500,25743100,19427600,31295700,18436400,16299300,12108700,16125200,17286400,18984800,16188200,27059300,51423400,50842900,38111800,25131200,14133100,14982300,14898200,19299900,17401800,17206400,18879300,37120900,41750200,30141500,32082200,28348000,17720800,15661500,13507400,15780000,18779100,26596600,28610500,41085100,42160000,34381200,21720000,12481783.33,10313983.33,12648483.33,14312966.67,19793266.67,19742616.67,28822133.33,33551600,32913166.67,24571316.67,20647213.89,14502947.22,,
80,Irrigation - Residential,224700,163700,173600,152600,207800,204500,396800,350900,476500,217800,298400,319400,207700,76700,138000,120400,120000,125300,213100,269100,176700,163900,154100,48200,104800,45300,46100,64900,142800,142700,143500,223500,189700,111100,146800,83400,113200,57700,65200,58900,94700,46600,74600,297000,265200,253600,172900,72300,58100,37400,57300,66300,74800,86600,213700,223400,270900,205900,203000,95600,78400,78500,67900,63900,142600,149000,224000,260200,192700,134400,131150,76550,91350,87833.33333,130450,125783.3333,210950,270683.3333,261950,181116.6667,184391.6667,115908.3333,,
81,Multi-Family,17987800,17341000,19454100,18366900,19655600,20618700,20372900,22999600,21515900,20020600,21632500,18942900,21117500,17505100,18499400,18724600,19938100,18504800,19937200,21021600,20545300,20656800,18340100,18278400,19814000,16854800,16283900,18035400,17234800,18112400,19460700,19344100,20074400,19115900,18807100,17470200,18416100,15992200,17781200,17488300,17720100,17307000,18406000,20364400,20225100,20064500,18746900,19049600,19128000,17454500,18916000,18549000,17693300,20080200,19124000,20450800,21040600,19323700,18578900,18158500,18005500,15529200,18144800,17365600,18604500,19608700,18769300,20696600,19855700,2309500,19078150,16779466.67,18179900,18088300,18474400,19038633.33,19345016.67,20812850,20542833.33,16915166.67,19197275,18113177.78,,
82,Irrigation - Multi-Family,660300,529500,447700,485000,973200,971300,1268200,1565800,1766200,987600,881400,806100,462000,550900,674200,798100,708500,950200,1099700,1664400,1263100,1075500,716100,355600,135200,86200,380200,702800,1116100,931300,1454400,1252300,1648500,1402800,759900,647600,649400,176200,124300,143600,251200,343500,535700,1143900,1601200,1228900,901100,440300,431800,190400,384300,495800,707700,534300,1162800,1469400,1190300,1243400,689700,450400,317200,320200,262400,517900,566800,868300,1274100,1305900,1375500,202500,442650,308900,378850,523866.6667,720583.3333,766483.3333,1132483.333,1400283.333,1474133.333,1023450,731808.3333,501483.3333,,
83,Residential,51030100,42077900,46878200,57446900,85318700,99835800,110351900,113702100,123138900,77958600,78984000,76196100,62667000,50319700,60445100,66971000,73401800,74291200,96886800,101504800,109754700,71080600,50129500,45842900,49889100,42880600,44160900,58984000,74080800,71189800,79315700,90737400,103464700,64551900,65462600,48633500,47424700,36421700,38260800,45689600,45348900,45567200,61558400,113440500,111775100,97592400,61468700,43582700,44388100,44911900,50796200,52736500,45009700,48922000,88931600,95372400,70060700,74316100,66674300,49039500,47814200,37964200,45121200,51342300,66271500,66901300,88053000,104566600,88832400,43154600,50535533.33,42429333.33,47610400,55528383.33,64905233.33,67784550,87516233.33,103220633.3,101171083.3,71442366.67,62209105.56,50954005.56,,
84,Irrigation - Residential,209300,201800,161000,321800,531000,809700,842400,723100,836600,446700,533700,512200,241000,281700,396400,414200,609400,575500,802500,828700,935300,662700,229300,251700,299900,226000,304200,353600,541400,554900,612900,747100,788200,519500,367100,250600,186000,167500,159000,245100,341000,363600,481400,1124600,1045800,940000,423600,195400,136900,255000,360700,404400,218200,325500,875800,854500,686300,777500,517400,372700,284200,227700,297900,421500,575600,493800,735300,881200,874100,361400,226216.6667,226616.6667,279866.6667,360100,469433.3333,520500,725050,859866.6667,861050,617966.6667,382886.1111,301536.1111,,
85,Multi-Family,2744700,1881300,2024800,2132600,2169800,1831000,1953200,2233500,3483700,2315300,2165600,2228500,2358300,2042900,2005600,2283700,3069600,2139600,2253600,2326900,2394100,2452900,2296100,2142600,2269400,2048400,1988700,2126800,2043500,2162600,2214600,2216500,2554400,1786500,2370900,1994000,2205600,1982000,2671900,1570800,1984700,2154000,2165900,2302100,2524100,2246100,2342100,2234800,2442300,2603700,2537600,2391800,2165300,2838300,3259600,2722100,2199500,3173100,1988800,2878600,2979000,2601700,2739400,2993100,2918900,3425900,2401900,1962700,3271300,2092300,2499883.333,2193333.333,2328000,2249800,2391966.667,2425233.333,2374800,2293966.667,2737850,2344366.667,2277230.556,2278638.889,,
86,Irrigation - Multi-Family,157900,130800,161300,174800,196900,277800,1335200,1479500,1131200,1150200,122000,369500,556100,340200,247400,328900,322700,371300,474100,502500,527400,507500,511200,230100,660200,179500,186600,130300,277200,207700,303800,313300,358800,230600,274300,132500,104200,48200,322300,56800,259800,360000,350500,995700,992700,617900,459900,557100,180200,418200,416200,486100,428900,627500,985600,1577600,871700,1116600,848700,329000,539100,420000,449700,477000,742800,1066800,1252000,1376400,2375400,1692700,366283.3333,256150,297250,275650,371383.3333,485183.3333,783533.3333,1040833.333,1042866.667,885916.6667,430397.2222,312391.6667,,
87,Residential,11189600,9655500,10109900,13013100,17434900,19436100,24910700,22688000,24459400,14672300,14969500,14126100,12233300,10137300,11465300,13633100,13990500,15884700,22092000,19659100,19402500,13290700,10075200,9661700,11026400,9707400,9592700,12309600,15047700,13599600,16773900,20128500,23663700,12181100,13032400,9576700,9906600,8311500,9697500,10339000,9949200,10884900,13428700,25533600,24086200,18332400,11671400,9656600,9699800,9918900,11555700,11409400,9807500,10887500,20597300,22229200,13844500,14316500,13115500,10373200,10879100,8909800,9764400,10689100,14208000,13798500,21819400,21448200,18731500,6287900,10822466.67,9440066.667,10364250,11898883.33,13406300,14081883.33,19937000,21947766.67,20697966.67,13180150,12281077.78,10472394.44,,
88,Irrigation - Residential,2300,3800,5100,13900,19100,19900,23200,22900,29500,10900,4500,22400,5200,4000,2900,9000,15200,20400,22700,19800,29200,3900,3600,4500,9900,29900,9700,6600,11600,23300,22500,26500,17200,20400,23100,22800,20700,17700,15800,6300,14400,16200,24300,38200,26900,25600,16800,13500,16300,21700,26200,19100,17700,19700,16900,30100,19900,20200,17300,14200,11900,6500,6200,6000,17700,22500,18300,26000,26000,2400,11050,13933.33333,10983.33333,10150,15950,20333.33333,21316.66667,27250,24783.33333,13900,12725,15222.22222,,
89,Multi-Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
90,Irrigation - Multi-Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
91,Residential,4512000,3935600,4276600,5424200,9284600,11993100,13082000,12846600,13913900,6999300,8065000,7844000,6100500,4838800,6129000,5999800,7318000,9611900,13836100,12189500,11990600,6528300,4815400,4978200,5177900,4506800,4902500,6451300,9290500,8084200,10443800,13280800,13298500,6430800,7605900,4639600,5109300,4237100,4382100,5370700,5359500,5623700,7621300,16558200,14164900,11680800,6436900,4741100,4843400,5554500,5930400,6324700,5760000,5657200,13895100,13202200,7259000,9068700,7154200,5088000,5447100,4153000,4974900,6165200,8179900,8314800,14380500,10459200,13904400,2341100,5198366.667,4537633.333,5099250,5955983.333,7532083.333,8214150,12209800,13089416.67,12421883.33,7174833.333,6545961.111,5304755.556,,
92,Irrigation - Residential,5200,2700,3700,2700,5700,5800,8800,8400,12400,4000,4200,5800,6300,2900,3300,2800,13800,11600,18300,16000,11900,5600,2900,3500,3500,3100,19300,13500,16000,14000,15300,24100,20900,10200,8600,5300,6700,4400,6300,5100,5000,5900,5900,28300,15900,19100,8700,5700,5300,7700,5800,6700,7200,13600,32400,27800,16500,12700,5500,6700,3500,2800,2800,3200,6500,9300,7900,6700,7400,0,5083.333333,3933.333333,6866.666667,5666.666667,9033.333333,10033.33333,14766.66667,18550,14166.66667,8600,5830.555556,5155.555556,,
93,Multi-Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
94,Irrigation - Multi-Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17500,35100,100,100,100,100,325100,139500,176900,75100,900,900,6100,34100,100,3600,51600,24700,187600,13800,41800,57100,18300,0,0,0,0,0,82700,112700,264200,186100,95600,150,3933.333333,11533.33333,33.33333333,616.6666667,22400,22916.66667,129483.3333,56566.66667,52383.33333,22058.33333,3855.555556,,
95,Residential,32822500,28646300,29994600,34892000,61971900,66495100,84882500,68276900,102313100,59824900,55420700,56053700,40720600,33156900,35623400,44401100,48148600,56128000,73494400,79518500,83806500,49659300,38932800,31577900,32284500,29002200,29580300,37592900,51400500,55183700,56480500,71898200,88999900,49406100,53838300,32679200,32201200,25470600,26793000,30773100,36042300,31858500,38523500,81176400,85557800,71483800,57842500,31088500,32395100,27699200,34099900,37657500,35685000,33691700,51836200,79620300,55770200,54541900,53224300,35902900,32213900,27790000,30053600,36045900,40214500,52777100,68819800,88583100,67138900,57038900,33772966.67,28627533.33,31024133.33,36893750,45577133.33,49355683.33,62339483.33,78178900,80597733.33,56992483.33,48838594.44,35988288.89,,
96,Irrigation - Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,400,2200,8700,700,0,900,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,933.3333333,0,0,0,16.66666667,0,66.66666667,366.6666667,1450,141.6666667,,
97,Multi-Family,77097400,73949800,80321000,76021300,84210200,81863700,85895200,86454000,88215800,85318000,84823800,83309800,85523800,79067600,75186300,80847400,80171600,89898300,85226000,88446300,91170200,85636800,84275700,78094000,88851400,78583400,74731700,81903600,74823800,82518600,86122600,82941500,92554300,76410800,82608000,79524200,82833000,71951200,74538600,74932000,72557200,72791700,76671200,80330300,78572800,81659900,74635800,72661900,79871700,69364700,80655400,73524500,72687600,78782000,77340800,76532400,82201900,76628200,74541000,79920800,76756300,66794400,74189100,70224700,69660900,77345500,76438500,72652500,82859000,64491100,81822266.67,73285183.33,76603683.33,76242250,75685216.67,80533300,81282383.33,81226166.67,85929000,78357466.67,80451094.44,77799313.89,,
98,Irrigation - Multi-Family,1931100,1612400,1578800,1590900,3260100,3280500,4372700,6891100,7257500,3617800,3149500,2219500,2132400,1567800,1569200,3346400,3874400,2629300,3281600,3014000,3237000,3640200,2930000,1467700,1664500,813200,566700,957300,1608700,1562600,1775500,2091200,3539300,2234900,2352200,1855100,1423500,892000,983500,918300,1260100,2017900,2029200,3404900,3845400,2795500,2427200,1927500,1349800,1222400,1919100,2323700,2236200,1638400,2976300,4124000,3175500,3256600,2970700,2216200,1345600,1964100,1502700,1822900,2570900,3170400,3508700,2624400,3928800,2654000,1641150,1345316.667,1353333.333,1826583.333,2468400,2383183.333,2990666.667,3691600,4163916.667,3033166.667,2578458.333,1838552.778,,
99,Residential,18864300,16956200,17558343,17964489,21334068,21802700,24957700,22534600,23601200,18877100,19170800,19299000,19458100,16583100,17095500,17988200,19296300,18732000,22708800,23213700,22808200,18180500,17877800,17502500,18634000,16752000,16181700,17782200,18072600,18529100,19782200,19303700,23341400,17384500,17756400,16762900,18085400,14965000,15293500,17384200,16855200,16406000,18293000,21933100,20954000,19929000,18697300,16413600,18246200,15405700,17177500,17154200,15891300,16940900,20429700,20070900,19806400,17857600,17036100,17120300,16239000,16742600,16483300,16843000,16547500,19081600,20767800,19743200,22215900,16549900,18254500,16234100,16631640.5,17519381.5,17999494.67,18582050,21156533.33,21133200,22121183.33,18129766.67,18132150,17222066.67,,
100,Irrigation - Residential,4600,3700,13900,4300,20900,27700,74600,50400,68100,24400,23500,20700,6700,6800,11600,9700,9800,7900,50600,51500,66400,25600,10600,7000,4400,4500,3300,6000,26700,21100,32800,32900,58100,9400,8400,3600,4500,3600,3900,6600,8500,6500,21500,54100,37800,24600,12500,10000,11300,8800,14500,17900,10200,10400,35100,42100,27600,21000,48900,14800,10400,20300,29900,48900,43500,55000,52000,88300,66300,50700,6983.333333,7950,12850,15566.66667,19933.33333,21433.33333,44433.33333,53216.66667,54050,25950,18480.55556,10675,,
101,Multi-Family,23982200,25653800,22950200,21669700,24781900,26737800,27359600,26818100,27337900,23814200,26410900,25386300,30903100,23364800,24114600,26201500,26045300,26473900,26525800,27818200,28082400,25180200,25713700,24139500,26531300,22599800,22935300,23193400,24187900,23767600,25268600,25244700,28629700,23735300,25953700,26074400,27468600,24482400,27624200,24984000,25062900,25745500,27720000,29208000,31108400,29038100,29727600,28169800,28850600,25414200,28478200,28395300,27232700,29226700,28944400,28827300,34400600,29804500,28572400,30572800,32787500,26713700,30581800,31017500,29133400,31348400,33108600,32106100,33951300,26844400,28420550,24704783.33,26114050,25910233.33,26074016.67,27216650,28154500,28337066.67,30585050,26402783.33,27466475,26507930.56,,
102,Irrigation - Multi-Family,577000,221200,220000,231400,1091800,1203400,1449600,1343100,1360000,650100,1170000,1340400,1059100,1099300,1179900,1199900,1511200,1361000,1528400,2176800,2134500,2223900,1411100,1018500,1071600,588500,678100,1032600,1129900,1383800,1821800,1857200,2478400,1818700,1420200,1199600,820600,461800,393100,646200,761300,807700,1421700,2176500,2129400,1640500,935200,1154600,1310500,1655700,1810400,2259200,1217700,2070300,3389700,3908100,3735200,3515400,3445000,3667600,1772300,1476500,1485400,1846800,2931600,2936600,4284400,4304800,3901900,3243300,1101850,917166.6667,961150,1202683.333,1440583.333,1627133.333,2315933.333,2627750,2623233.333,2181983.333,1580558.333,1549644.444,,
103,Residential,52151000,45512500,49252000,48425600,56049800,57835600,62464100,59533100,61317500,48716600,50525600,50769200,52425400,46250300,46412200,48467900,51637300,55135000,58110000,60955600,56043200,47915800,47448600,46563600,49903900,44692300,42908000,46011000,48495400,49324600,51347400,52011200,57246200,43730400,46661800,43978600,47858700,40641100,42135400,44755100,43202500,45677200,47170200,56894300,53550400,48588100,43812600,44846300,46557700,42258100,45192500,45245700,43564400,46718000,55373100,53862200,50888300,48235200,45474100,48388500,48668500,41117900,45060200,46640300,47508100,48868200,56374300,54656400,55121800,47534600,49594200,43412033.33,45160050,46590933.33,48409583.33,50593100,55139850,56318800,55694566.67,47453450,47252816.67,46326372.22,,
104,Irrigation - Residential,2500,600,500,500,1400,2600,4800,2100,3300,1000,900,1600,1400,1400,1100,1200,1000,2500,2600,3500,1900,1200,600,1600,800,200,900,2500,2300,3000,3200,23600,18600,23400,25600,24000,28900,24000,24800,22000,23900,26000,24900,24000,23800,109900,196700,23400,25000,24300,24400,35700,30700,35000,54000,61300,73100,66000,55200,52500,43200,37700,36200,46200,64300,45500,51900,66600,50500,52200,16966.66667,14700,14650,18016.66667,20600,19100,23566.66667,30183.33333,28533.33333,42283.33333,49327.77778,19633.33333,,
105,Multi-Family,32377300,27473000,31063400,27645700,33154100,33236700,33729800,33942800,32789800,32585300,30915200,28632300,33159400,28527600,29154700,28731600,30580400,29314900,31591000,34608700,31928100,32216300,29861500,28654800,31359400,29090700,26435800,29403400,29899500,31010200,30305200,32163500,34253300,29619800,31100600,30086700,32562700,27384400,28920600,29477700,28800800,30421800,32319700,32372800,34740200,33427600,30559600,30589800,32327300,29003900,30076500,30150300,28944800,31284900,31598800,32171300,34004700,31955500,29654100,31681800,31979500,27715900,29191700,32168200,29860600,32732600,32811200,31370400,36301900,21567000,32294266.67,28199250,29140450,29596150,30206700,31333516.67,32059283.33,32771583.33,34003000,30228583.33,30730877.78,29640775,,
106,Irrigation - Multi-Family,847100,1679400,1821500,1525200,2973900,3799000,4043300,4937100,6158700,4263200,2221300,2266000,1365600,1572500,1482000,2170800,2490900,2689600,4037500,3637500,3362400,2639900,2845000,1176200,1112400,820000,1296900,1625100,2338000,3397400,4119600,5639500,8121800,3584100,3036700,2313700,1628400,1000600,1294100,1599200,2816900,2416300,3901200,5717700,7161800,6243400,5323100,3216100,2219100,2006900,2478300,2036600,2887100,3107100,5603700,6914300,4813800,4075800,3318400,2853900,1096400,2248600,2216900,2098700,3146900,5270400,6589400,6337900,6568500,2957900,1378166.667,1554666.667,1764950,1842600,2775616.667,3446633.333,4715783.333,5530666.667,6031166.667,3960716.667,3020444.444,2230094.444,,
107,Residential,75027500,63666200,70852300,72753500,90522200,99561000,108011400,105934900,105267700,75222200,78090500,78171400,77058100,66653700,70779600,73514300,77825400,82845200,108179100,105068800,100955700,73483900,66441300,65327600,73074100,63882700,62998200,70713700,76884600,75448000,81314500,92116300,94609300,65802400,70957100,62740900,68857800,57408000,60899900,65020700,62047400,64414900,72414900,102148800,95732500,83692800,66223800,62709300,65757100,60728100,64694600,64847300,60210600,65585200,89541300,89270000,73286800,70443500,65577300,64284900,66703600,55395100,62592600,62445900,69950800,71256100,83504500,85014800,84220100,39983100,71079700,61288966.67,65469533.33,68215900,72906833.33,76518400,90494283.33,96592266.67,92345350,68104650,69728283.33,65753844.44,,
108,Irrigation - Residential,10500,13400,22300,27000,70000,88100,113300,152100,156300,78500,93300,96900,32400,21100,30100,41100,36900,56900,108500,83000,99300,41500,25300,21000,25600,27000,25700,33700,56600,87900,102700,119600,115700,68500,97300,37400,27100,23800,28100,47600,54000,49000,84400,121400,128600,102400,72100,53400,33600,52100,28800,29000,25300,25000,102800,112800,71800,85900,132800,32500,91800,131700,113100,60700,53000,44700,75500,150400,122400,70100,36833.33333,44850,41350,39850,49300,58600,97866.66667,123216.6667,115683.3333,74483.33333,76272.22222,47675,,
109,Multi-Family,12406100,10923900,11951600,11485800,13200400,15136200,14998100,16050600,16743900,13529300,13309200,12604600,12748700,11217700,11638100,13736500,13399000,13121500,13143300,14762000,14941400,13556300,11755200,10540300,11891000,10632100,10430000,11606900,12173700,13209000,12584100,12971100,14569700,12170900,12862200,11244200,11471900,9466900,9745100,10067000,10183300,9982900,10657000,14286300,15418400,14179400,11885100,12117200,13105300,10766500,11607500,11539700,11367900,11933500,14311600,14221900,13755400,12325200,12258900,11600100,12381600,10673100,12719400,12113800,11633200,11797300,14374800,13627800,12874400,6333700,12334100,10613366.67,11348616.67,11758283.33,11992916.67,12530066.67,13344816.67,14319950,14717200,12015800,12400783.33,11453294.44,,
110,Irrigation - Multi-Family,373500,235100,365700,614800,781200,1207200,1336200,1540300,1450300,1122900,1108300,846700,673700,430700,700400,688800,1021100,1226200,1247200,950500,1231800,681600,596600,489500,285900,130200,180100,252000,509400,549500,690800,1008900,1009700,741300,654400,311500,229600,113800,78800,225200,432900,522500,902700,1300500,1390500,1914800,716200,401100,230100,178400,241500,508200,640000,669500,999000,1412200,1241000,674600,692600,553200,221900,337400,397900,436200,902200,1170500,1199300,1423800,1522900,552900,335783.3333,237600,327400,454200,714466.6667,890900,1062533.333,1272700,1307700,948016.6667,683980.5556,473266.6667,,
111,Residential,24320500,21352400,23132600,29137600,47822800,55924100,59619400,61641400,65102500,42373100,42185500,39547900,30745800,23831900,31502500,32898900,37863500,40571200,55773300,57484900,61611900,39131500,26125500,22327900,22602800,20412000,21822800,30192000,39483600,37024500,40081000,48926000,54278300,34923300,34570800,27551000,31952800,23477100,24411000,31083700,31214800,30883000,44494100,88912300,78394700,65340100,41059300,28938200,28096900,31202600,33431400,35072400,30475600,31599600,70014800,69760300,47662500,54279700,45377800,31101100,32357300,26657200,29776000,34899300,48085800,46830400,63456900,74027300,66163900,14696000,28346016.67,24488866.67,27346050,32213983.33,39157683.33,40472133.33,55573250,66792033.33,62202300,41790616.67,36277486.11,28992494.44,,
112,Irrigation - Residential,191800,181000,197700,282000,426200,611900,636900,619500,691200,523400,489800,450300,250000,235100,317700,350900,449800,489600,725800,749300,835500,442200,196500,292300,220500,246800,238900,386000,472400,444400,465000,560100,556800,395000,288900,155500,175500,101900,100500,237300,283400,194100,463600,977600,838700,809800,311000,222500,167500,294200,344000,302700,233600,265300,686800,861800,481000,710500,453600,285800,248100,205500,254200,312000,506600,492800,717900,831500,1020900,210700,208900,210750,242166.6667,311816.6667,395333.3333,416350,616000,766633.3333,737350,515266.6667,324783.3333,269525,,
113,Multi-Family,6411000,5608000,6615300,6711000,7457600,8090900,8633000,8266000,9624200,8063500,7197800,7417300,7762600,6529600,6828000,7344700,7881600,8181300,7909900,8463400,8039600,7275500,6793400,6863400,7185100,6649000,6390900,7016100,7263500,7743400,7902800,7492700,9001300,7134100,7698500,7020400,7527400,6375800,6517200,6438400,6265800,7037500,7314800,8159500,8117000,7230100,6824800,7224400,7560500,6641000,6910100,7077400,7046100,7549600,8309200,7376200,7586400,7087200,6587200,7522500,0,6292500,7202200,7371200,7289600,7702800,8229300,7918400,8212400,7539700,6074433.333,6349316.667,6743950,6993133.333,7200700,7717583.333,8049833.333,7946033.333,8430150,7388350,6862688.889,7066219.444,,
114,Irrigation - Multi-Family,155300,186400,121700,430600,935600,1183500,1918400,2273300,1820800,876000,758400,633900,332800,364800,445100,368200,857000,522600,1540400,1451800,1508100,584300,457800,619600,386000,442000,230300,289500,711400,696800,1081900,915800,1156800,757100,725300,334000,124200,262000,82700,333000,289600,94500,590900,1847700,1858500,1322600,842200,475400,183300,196300,218300,377900,422800,279900,971500,1293800,1028200,1392200,1085100,624600,573300,366500,130900,383700,644400,908600,2779200,2233300,1325200,1274400,292483.3333,303000,204833.3333,363816.6667,643466.6667,614316.6667,1480383.333,1669283.333,1449600,1034433.333,693547.2222,498416.6667,,
115,Residential,20651600,18241100,19491700,21076600,30830300,31874500,36753400,34066800,39641700,26144700,26324100,26417800,23640900,19795200,21188800,23192600,25685800,27516500,36143800,35657100,33173400,25003300,20635600,19165600,21098000,18735900,18823000,23173700,26305900,24716200,29187800,31892700,37259700,23344000,24404700,20314700,20910100,17472900,19027600,21271300,20509500,20238500,24440000,36102900,37198600,29962000,23663000,20020200,21479100,18996900,22087500,22752200,20357600,22347900,31580700,32947400,26810400,27152200,24296100,23519700,21625500,18586200,21714300,23094000,24957900,27242500,32273100,35173000,32363400,25413000,21567533.33,18638033.33,20388816.67,22426733.33,24774500,25656016.67,31729800,34306650,34407866.67,26169866.67,23481838.89,21346005.56,,
116,Irrigation - Residential,79900,71600,74600,70800,190300,192600,22700,22600,64200,65100,64700,64400,69200,59000,62800,24800,0,0,0,0,100,500,3200,800,800,1800,2900,0,0,0,0,300,43100,71000,75300,41100,0,2000,0,3500,5000,6200,7500,6200,8200,30800,16900,900,10300,108500,6200,9000,7800,9900,11600,300,2100,2500,1500,0,0,0,800,14900,14200,18200,19900,10900,15900,14700,26700,40483.33333,24550,20500,36216.66667,37816.66667,10283.33333,6716.666667,22266.66667,30766.66667,31383.33333,24613.88889,,
117,Multi-Family,14761900,14170300,14166100,14419500,15564500,16236500,18688000,17816800,18677800,15581200,16103200,16636700,16746900,15590500,14892100,16050200,17605900,18593200,16471500,19636600,18002600,16976500,18138000,17270000,18601300,17189800,16526300,17257300,17865800,19393500,20071600,19394400,20366000,17935500,18976800,17396400,18911000,16595700,17138800,18003700,18185900,18740000,19860300,21640500,21590000,21895800,19901200,19712900,22305600,18785600,19767600,21194900,19338400,20477600,21254400,23581500,23910000,21454200,19859900,24954800,25237500,19924300,20847200,20997000,22125600,22123200,25405400,21560700,24806800,20934400,19427366.67,17042700,17223016.67,17987100,18447683.33,19260666.67,20291866.67,20605083.33,21225533.33,19129600,18734411.11,18835583.33,,
118,Irrigation - Multi-Family,2642400,2546700,1935200,2148900,5547800,5840500,8030500,9490000,11855100,8384800,7808700,6697900,5408700,5335100,4227000,4556900,6757400,8063900,9658300,10731500,10486700,7145100,4916400,2046600,2274600,2161200,2665400,5535900,6315300,6342700,6519300,7647500,10152000,7359100,6667600,2714900,2156500,1468200,1010300,1970800,2728400,2507500,6610200,11685200,13816900,16738200,9928900,5306600,4431800,4155400,3828000,4718100,5721300,4261000,8390400,12109000,9666500,9027000,7157300,4347000,4464900,3788700,3800300,4547800,5626800,9721600,11276300,12812800,11906900,9150100,3563150,3242550,2911033.333,3913066.667,5449500,6122866.667,8414166.667,10746000,11314016.67,9634050,6673675,4059258.333,,
119,Residential,61850400,54719100,57795500,64348400,87972800,90551100,112391900,100439700,114906800,75227500,73722100,74296000,66847300,57477600,60398300,67780700,74184900,78539800,104664100,98323100,98216600,68593200,59226600,58220200,61269000,55226100,54347900,63627800,72221300,70570400,79032100,84752400,101785700,61657400,65482000,56029600,59509800,49797500,52802900,57040200,56623600,56883900,62616600,100709600,101166300,78183600,64674900,55418100,57803400,51486300,58995800,58877800,53797500,56669400,82934600,88685500,68267800,67723900,62579600,58771500,58666500,49810200,54356600,57943100,64325500,64574600,82140700,91512800,77276300,62992300,60991066.67,53086133.33,56449500,61603000,68187600,69631533.33,87296666.67,94070516.67,93603250,69062983.33,64446044.44,59303588.89,,
120,Irrigation - Residential,0,0,6000,2000,26000,12000,19100,22900,39000,14500,23700,20100,13300,13300,11300,11900,11900,28900,35700,34000,31800,12200,15100,11900,7900,15200,15700,20500,14900,14800,19800,15300,28700,20300,25200,15700,15900,18000,7700,16700,22500,70100,29700,86700,87100,56200,55800,53000,32200,20600,23100,18100,24900,15600,22200,17300,19600,32300,28400,30200,39300,20900,22300,23200,20000,23700,29300,37800,29000,22400,18100,14666.66667,14350,15400,20033.33333,27516.66667,25966.66667,35666.66667,39200,26316.66667,27716.66667,24261.11111,,
