user.key,device.key,session.id,Alicante.local.date.time,volume,temperature,energy,flow,duration,history,mobile.os
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,15,7/3/2017 17:39,4.2,27,82.943,2.9,86,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,11,7/3/2017 17:39,16.2,34,451.656,4.3,226,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,10,7/3/2017 17:39,1.5,26,27.88,5,18,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,9,7/3/2017 17:39,6.3,27,124.4145,7.3,51,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,8,7/3/2017 17:39,19.4,32,495.79935,4.5,258,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,7,7/3/2017 17:39,10.8,32,276.012,4.3,150,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,6,7/3/2017 17:39,13.8,36,416.806,3.9,212,TRUE,android
68777360-346f-4e9b-97cc-d9c6830ccc7c,8f845023-62d3-4a83-8f05-e491352e7c9b,3,5/3/2017 19:38,3.3,26,61.336,7.1,27,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,2f7328da-7a87-4008-a9e8-32ac84290198,217,1/3/2017 16:05,17.1,35,484,5.8628573,175,FALSE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,2f7328da-7a87-4008-a9e8-32ac84290198,36,1/3/2017 16:03,28.6,31,697.697,8.8,195,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,2f7328da-7a87-4008-a9e8-32ac84290198,20,1/3/2017 16:03,46.2,34,1288.056,8,346,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,2f7328da-7a87-4008-a9e8-32ac84290198,19,1/3/2017 16:03,24.8,30,576.18665,9.1,163,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,2f7328da-7a87-4008-a9e8-32ac84290198,18,1/3/2017 16:03,21.4,32,546.91266,5.7,225,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,bbcc0c7a-795b-45cb-8cb0-cd6c5cf3f4a6,45,19/05/2017 08:52:14,50.2,39,1624,24.096,125,FALSE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,bbcc0c7a-795b-45cb-8cb0-cd6c5cf3f4a6,44,19/05/2017 14:26:06,2.4,32,61.336,24,5,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,bbcc0c7a-795b-45cb-8cb0-cd6c5cf3f4a6,43,19/05/2017 13:26:35,59,38,1919.0734,24.1,146,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,bbcc0c7a-795b-45cb-8cb0-cd6c5cf3f4a6,42,19/05/2017 13:26:35,20.2,39,680.50433,11.5,105,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,bbcc0c7a-795b-45cb-8cb0-cd6c5cf3f4a6,41,19/05/2017 13:26:35,34.8,38,1131.928,17.4,120,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,bbcc0c7a-795b-45cb-8cb0-cd6c5cf3f4a6,40,19/05/2017 13:26:35,21.9,35,636.0125,14,93,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,bbcc0c7a-795b-45cb-8cb0-cd6c5cf3f4a6,39,19/05/2017 13:26:35,18.3,38,595.238,7.4,148,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,bbcc0c7a-795b-45cb-8cb0-cd6c5cf3f4a6,38,19/05/2017 13:26:30,35.8,38,1164.4547,14.3,150,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,bbcc0c7a-795b-45cb-8cb0-cd6c5cf3f4a6,37,19/05/2017 13:26:30,14.3,38,465.13135,9.3,92,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,bbcc0c7a-795b-45cb-8cb0-cd6c5cf3f4a6,36,19/05/2017 13:26:30,15.5,39,522.1692,7,132,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,bbcc0c7a-795b-45cb-8cb0-cd6c5cf3f4a6,35,19/05/2017 13:26:30,18.9,39,636.7095,9.9,114,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,bbcc0c7a-795b-45cb-8cb0-cd6c5cf3f4a6,34,19/05/2017 13:26:30,20,35,580.8333,14.1,85,TRUE,android
e3b4516c-889b-4591-b434-e5c3d8ddfba3,bbcc0c7a-795b-45cb-8cb0-cd6c5cf3f4a6,33,19/05/2017 13:26:30,30.5,34,850.34,14.1,129,TRUE,android
